sku_cd,week,forecast_qty,method
MWPAATN04CO001,2026-07-13,716.25,darts_series_seasonal_moving_average
MWPAATN04CO001,2026-07-20,724.25,darts_series_seasonal_moving_average
MWPAATN04CO001,2026-07-27,721.25,darts_series_seasonal_moving_average
MWPAATN04CO001,2026-08-03,706.25,darts_series_seasonal_moving_average
MWPAATN04CO001,2026-08-10,755.75,darts_series_seasonal_moving_average
MWPAATN04CO001,2026-08-17,1479.75,darts_series_seasonal_moving_average
MWPAATN04CO001,2026-08-24,1626.25,darts_series_seasonal_moving_average
MWPAATN04CO001,2026-08-31,1344.25,darts_series_seasonal_moving_average
MWPAATN04CO001,2026-09-07,1216.75,darts_series_seasonal_moving_average
MWPAATN04CO001,2026-09-14,1461.25,darts_series_seasonal_moving_average
MWPAATN04CO001,2026-09-21,1830.75,darts_series_seasonal_moving_average
MWPAATN04CO001,2026-09-28,1308.25,darts_series_seasonal_moving_average
MWPDSLR04CO001,2026-07-13,132.875,darts_series_seasonal_moving_average
MWPDSLR04CO001,2026-07-20,130.875,darts_series_seasonal_moving_average
MWPDSLR04CO001,2026-07-27,140.375,darts_series_seasonal_moving_average
MWPDSLR04CO001,2026-08-03,131.875,darts_series_seasonal_moving_average
MWPDSLR04CO001,2026-08-10,161.375,darts_series_seasonal_moving_average
MWPDSLR04CO001,2026-08-17,239.375,darts_series_seasonal_moving_average
MWPDSLR04CO001,2026-08-24,319.875,darts_series_seasonal_moving_average
MWPDSLR04CO001,2026-08-31,266.875,darts_series_seasonal_moving_average
MWPDSLR04CO001,2026-09-07,178.375,darts_series_seasonal_moving_average
MWPDSLR04CO001,2026-09-14,140.875,darts_series_seasonal_moving_average
MWPDSLR04CO001,2026-09-21,149.375,darts_series_seasonal_moving_average
MWPDSLR04CO001,2026-09-28,134.375,darts_series_seasonal_moving_average
MWPFSMT03CO001,2026-07-13,101.375,darts_series_seasonal_moving_average
MWPFSMT03CO001,2026-07-20,107.875,darts_series_seasonal_moving_average
MWPFSMT03CO001,2026-07-27,180.875,darts_series_seasonal_moving_average
MWPFSMT03CO001,2026-08-03,105.875,darts_series_seasonal_moving_average
MWPFSMT03CO001,2026-08-10,126.875,darts_series_seasonal_moving_average
MWPFSMT03CO001,2026-08-17,114.875,darts_series_seasonal_moving_average
MWPFSMT03CO001,2026-08-24,139.375,darts_series_seasonal_moving_average
MWPFSMT03CO001,2026-08-31,238.875,darts_series_seasonal_moving_average
MWPFSMT03CO001,2026-09-07,117.875,darts_series_seasonal_moving_average
MWPFSMT03CO001,2026-09-14,157.375,darts_series_seasonal_moving_average
MWPFSMT03CO001,2026-09-21,226.375,darts_series_seasonal_moving_average
MWPFSMT03CO001,2026-09-28,188.375,darts_series_seasonal_moving_average
MWPCSVI01CO001,2026-07-13,145.5,darts_series_seasonal_moving_average
MWPCSVI01CO001,2026-07-20,154.5,darts_series_seasonal_moving_average
MWPCSVI01CO001,2026-07-27,161.0,darts_series_seasonal_moving_average
MWPCSVI01CO001,2026-08-03,161.5,darts_series_seasonal_moving_average
MWPCSVI01CO001,2026-08-10,183.5,darts_series_seasonal_moving_average
MWPCSVI01CO001,2026-08-17,278.5,darts_series_seasonal_moving_average
MWPCSVI01CO001,2026-08-24,283.5,darts_series_seasonal_moving_average
MWPCSVI01CO001,2026-08-31,290.5,darts_series_seasonal_moving_average
MWPCSVI01CO001,2026-09-07,196.5,darts_series_seasonal_moving_average
MWPCSVI01CO001,2026-09-14,212.5,darts_series_seasonal_moving_average
MWPCSVI01CO001,2026-09-21,208.0,darts_series_seasonal_moving_average
MWPCSVI01CO001,2026-09-28,152.5,darts_series_seasonal_moving_average
MWPFSMT03QH001,2026-07-13,276.75,darts_series_seasonal_moving_average
MWPFSMT03QH001,2026-07-20,276.75,darts_series_seasonal_moving_average
MWPFSMT03QH001,2026-07-27,276.75,darts_series_seasonal_moving_average
MWPFSMT03QH001,2026-08-03,276.75,darts_series_seasonal_moving_average
MWPFSMT03QH001,2026-08-10,276.75,darts_series_seasonal_moving_average
MWPFSMT03QH001,2026-08-17,276.75,darts_series_seasonal_moving_average
MWPFSMT03QH001,2026-08-24,276.75,darts_series_seasonal_moving_average
MWPFSMT03QH001,2026-08-31,276.75,darts_series_seasonal_moving_average
MWPFSMT03QH001,2026-09-07,276.75,darts_series_seasonal_moving_average
MWPFSMT03QH001,2026-09-14,276.75,darts_series_seasonal_moving_average
MWPFSMT03QH001,2026-09-21,276.75,darts_series_seasonal_moving_average
MWPFSMT03QH001,2026-09-28,276.75,darts_series_seasonal_moving_average
MWBAASE03CO001,2026-07-13,66.75,darts_series_seasonal_moving_average
MWBAASE03CO001,2026-07-20,68.75,darts_series_seasonal_moving_average
MWBAASE03CO001,2026-07-27,60.75,darts_series_seasonal_moving_average
MWBAASE03CO001,2026-08-03,61.25,darts_series_seasonal_moving_average
MWBAASE03CO001,2026-08-10,66.25,darts_series_seasonal_moving_average
MWBAASE03CO001,2026-08-17,201.25,darts_series_seasonal_moving_average
MWBAASE03CO001,2026-08-24,238.75,darts_series_seasonal_moving_average
MWBAASE03CO001,2026-08-31,206.25,darts_series_seasonal_moving_average
MWBAASE03CO001,2026-09-07,225.25,darts_series_seasonal_moving_average
MWBAASE03CO001,2026-09-14,334.25,darts_series_seasonal_moving_average
MWBAASE03CO001,2026-09-21,615.75,darts_series_seasonal_moving_average
MWBAASE03CO001,2026-09-28,357.25,darts_series_seasonal_moving_average
