sku_cd,demand_class,abc_class,total_qty,latest_stock_qty,avg_aging,stockout_rate,stock_snapshots,weekly_velocity,coverage_weeks,stock_risk
MWPAATN04CO001,Erratic,A,362646.0,28368.0,141.91379310344828,0.0,26.0,1209.0,23.464019851116625,low
MWPFSMT03QH001,Erratic,A,10699.0,8512.0,25.980392156862745,0.0,25.0,411.9166666666667,20.66437386202711,low
MWPCSVI01CO001,Erratic,A,67529.0,3108.0,92.27102803738318,0.0,26.0,225.41666666666666,13.787800369685767,low
MWPFSMT03CO001,Erratic,A,20030.0,3432.0,89.10752688172043,0.0,26.0,216.58333333333334,15.84609465178915,low
MWPDSLR04CO001,Erratic,A,58583.0,2003.0,149.2688172043011,0.0,26.0,203.83333333333334,9.826655764513491,low
MWSGSTA02CO001,Erratic,A,3314.0,2764.0,26.895652173913042,0.0,21.0,199.25,13.87202007528231,low
MWRGSTA02CO001,Erratic,A,2804.0,3584.0,23.278688524590162,0.0,22.0,124.66666666666667,28.748663101604276,low
MWBESEA01CO001,Erratic,A,14338.0,5380.0,37.06185567010309,0.0,26.0,120.33333333333333,44.70914127423823,low
MWPGSLR03CO001,Smooth,A,3784.0,3623.0,52.922222222222224,0.0,22.0,119.25,30.38155136268344,low
MWPAATN04I8001,Erratic,A,23140.0,4002.0,101.1078431372549,0.0,26.0,92.25,43.38211382113821,low
MWPAATN03CO001,Erratic,A,8137.0,1634.0,102.39393939393939,0.0,26.0,91.08333333333333,17.939615736505033,low
MWBAASE03CO001,Erratic,A,56584.0,5020.0,187.8709677419355,0.0,26.0,77.25,64.98381877022653,low
MPFGSMM06PK001,Smooth,A,945.0,578.0,93.4423076923077,0.0,16.0,76.41666666666667,7.563794983642311,medium
MWPGSLR02CO001,Smooth,A,2255.0,8355.0,33.9,0.0,22.0,72.08333333333333,115.90751445086705,low
MWRAAME01CO001,Erratic,A,11835.0,7308.0,93.28865979381443,0.0,26.0,70.41666666666667,103.78224852071006,low
MWPAATN04BK001,Erratic,A,18967.0,4162.0,106.32291666666667,0.0,26.0,68.41666666666667,60.83313032886723,low
