region,line_desc,total_qty,net_amt,sku_count
North,MCM COLLECTION,328920.0,55935668.35945926,4777
CHINA,MCM TONI,270223.0,660248675.8284694,46
Korea,MCM TONI,222006.0,155397348688.0,41
North,AREN,215888.0,64117020.93596603,1435
Europe,AREN,149383.0,35787993.57029593,1542
CHINA,AREN,124383.0,288399333.9169949,1334
CHINA,LIZ,110607.0,302638183.9454193,49
Korea,AREN,97161.0,48104435599.0,1378
Europe,MCM COLLECTION,84495.0,10717768.578932792,4170
Korea,LIZ,76144.0,57933394436.0,44
CHINA,MCM COLLECTION,69269.0,53322808.272503525,3972
CHINA,TRACY,67736.0,194767132.43243268,365
North,CLAUS,62428.0,14805539.43891716,187
Korea,ELLA,59469.0,49190928732.0,56
North,LIZ,59174.0,33583676.472084045,67
CHINA,STARK,45842.0,233233275.46972656,183
Europe,LIZ,41855.0,17976506.04660225,60
Korea,MCM COLLECTION,40751.0,5946856044.0,3476
Korea,TRACY,39081.0,24054759261.0,284
CHINA,ELLA,38148.0,118701025.60549487,59
Korea,STARK,32564.0,38458598253.0,183
HMS,MCM COLLECTION,31173.0,21685680.78146553,3348
Europe,TRACY,29478.0,10356994.308979034,301
HMS,AREN,29122.0,284037059.4274349,1205
North,TRACY,26229.0,10233389.41060543,269
North,HIMMEL,24832.0,7934009.682186127,251
North,STARK,22575.0,15449622.129882812,194
CHINA,HIMMEL,21563.0,33463480.025406837,192
Japan,MCM COLLECTION,19612.0,354786781.0,2065
Japan,AREN,18732.0,730724250.0,1078
Europe,FURSTEN,18279.0,6821125.152956009,53
Europe,HIMMEL,16069.0,4008309.030954361,255
CHINA,MUNCHEN,15318.0,59377932.13874817,63
North,TERRAIN DERBY,14642.0,3829825.2310559843,317
Korea,HIMMEL,14352.0,6553432928.0,233
North,FURSTEN,13366.0,6198468.339412689,47
Europe,STARK,13322.0,7567965.442466736,184
Europe,CLAUS,12148.0,2164493.294631958,176
North,MUNCHEN,12111.0,8788352.593475342,64
Europe,MCM TONI,11406.0,4607480.886505127,54
HMS,STARK,10838.0,100454041.1623497,174
North,OTTOMAR,10830.0,7679170.759613037,126
North,ELLA,10270.0,7017356.771778107,60
HMS,MCM TONI,9048.0,54923895.071014404,50
Korea,MUNCHEN,8937.0,7330618435.0,59
Europe,MUNCHEN,8798.0,4976847.062232971,67
North,MCM TONI,8700.0,4610193.919826508,50
