demand_class,abc_class,stock_risk,promo_influence,recommended_action,sku_count,total_qty,avg_weekly_velocity,avg_coverage_weeks
Erratic,A,low,high,pre-position_inventory_before_promotion_window,21,712423.0,110.07936507936508,49.85281711426327
Lumpy,A,low,unknown,use_intermittent_or_hierarchical_forecast,1204,626640.0,0.6535852713178294,95.28240828217066
Intermittent,B,low,unknown,use_intermittent_or_hierarchical_forecast,2670,251277.0,0.350749063670412,72.46293132596217
Intermittent,A,low,unknown,use_intermittent_or_hierarchical_forecast,440,186087.0,1.425189393939394,60.63759154981666
Lumpy,A,low,low,use_intermittent_or_hierarchical_forecast,55,172891.0,1.2121212121212122,49.47055726507122
Lumpy,B,low,unknown,use_intermittent_or_hierarchical_forecast,1301,154504.0,0.11612861901101718,53.20879399992203
Erratic,A,low,unknown,monitor_with_weekly_baseline,40,153608.0,42.66875,59.48191405899431
Intermittent,C,low,unknown,use_intermittent_or_hierarchical_forecast,9697,117624.0,0.0320030249905469,108.23536531243892
Lumpy,A,low,high,use_intermittent_or_hierarchical_forecast,15,75926.0,0.0,
Erratic,A,low,low,monitor_with_weekly_baseline,9,61648.0,5.5740740740740735,48.43394951056408
Lumpy,A,low,medium,use_intermittent_or_hierarchical_forecast,24,61184.0,1.4375,39.57485278086495
Lumpy,A,low,high,pre-position_inventory_before_promotion_window,17,51584.0,11.156862745098039,59.99299806205592
Erratic,A,low,medium,monitor_with_weekly_baseline,4,34309.0,32.625,25.1959257528615
Lumpy,A,high,unknown,replenish_or_rebalance_before_next_sales_cycle,54,25148.0,3.2731481481481484,1.266927978061752
Smooth,A,low,unknown,monitor_with_weekly_baseline,18,24598.0,28.291666666666668,58.743771574353154
Lumpy,A,medium,unknown,use_intermittent_or_hierarchical_forecast,35,20922.0,5.79047619047619,5.859449971751644
Erratic,A,medium,low,monitor_with_weekly_baseline,2,17782.0,19.083333333333332,5.4640685461580984
Lumpy,C,low,unknown,use_intermittent_or_hierarchical_forecast,705,17424.0,0.014657210401891253,131.97455357142857
Intermittent,A,medium,unknown,use_intermittent_or_hierarchical_forecast,19,9673.0,3.267543859649123,5.517647041458834
Lumpy,A,high,high,replenish_or_rebalance_before_next_sales_cycle,3,9431.0,0.638888888888889,1.87012987012987
Lumpy,A,medium,low,use_intermittent_or_hierarchical_forecast,3,7893.0,0.8611111111111112,4.78796992481203
Intermittent,A,high,unknown,replenish_or_rebalance_before_next_sales_cycle,22,7704.0,1.746212121212121,1.1410744195112266
Intermittent,B,high,unknown,use_intermittent_or_hierarchical_forecast,73,7641.0,0.4965753424657534,1.0408559337440209
Intermittent,B,medium,unknown,use_intermittent_or_hierarchical_forecast,53,5521.0,1.7342767295597485,5.690805010024853
Lumpy,A,medium,medium,use_intermittent_or_hierarchical_forecast,1,4557.0,0.75,4.0
Erratic,A,high,low,replenish_or_rebalance_before_next_sales_cycle,1,4402.0,49.25,3.3096446700507616
