sku_cd,demand_class,abc_class,total_qty,eligible_min_24_weeks,stock_risk,coverage_weeks,weekly_velocity,promo_lift,promo_influence,recommended_action
MWPAATN04CO001,Erratic,A,362646.0,True,low,23.464019851116625,1209.0,2.610955551128788,high,pre-position_inventory_before_promotion_window
MWPCSVI01CO001,Erratic,A,67529.0,True,low,13.787800369685767,225.41666666666666,1.4666764380191495,high,pre-position_inventory_before_promotion_window
MWPDSLR04CO001,Erratic,A,58583.0,True,low,9.826655764513491,203.83333333333334,2.751733121440517,high,pre-position_inventory_before_promotion_window
MWBAASE03CO001,Erratic,A,56584.0,True,low,64.98381877022653,77.25,0.6313789770896894,high,pre-position_inventory_before_promotion_window
MWPAATN04QH001,Lumpy,A,25165.0,True,low,,0.0,0.7293036683436991,high,use_intermittent_or_hierarchical_forecast
MWRBAWO05CO001,Erratic,A,24046.0,True,low,68.51612903225806,2.5833333333333335,0.09921819193843895,low,monitor_with_weekly_baseline
MWPAATN04I8001,Erratic,A,23140.0,True,low,43.38211382113821,92.25,0.29567990439564196,medium,monitor_with_weekly_baseline
MWPCSVI01BK001,Erratic,A,23052.0,True,low,58.45925925925926,33.75,0.9217570141687346,high,pre-position_inventory_before_promotion_window
MWPFSMT03CO001,Erratic,A,20030.0,True,low,15.84609465178915,216.58333333333334,,unknown,monitor_with_weekly_baseline
MWPAATN04BK001,Erratic,A,18967.0,True,low,60.83313032886723,68.41666666666667,2.6398643351091753,high,pre-position_inventory_before_promotion_window
MWPDSLR02BK001,Erratic,A,16750.0,True,low,28.22535211267606,41.416666666666664,1.487836900740795,high,pre-position_inventory_before_promotion_window
MWPAAVI02CO001,Lumpy,A,15191.0,True,low,,0.0,-0.8662701078053802,low,use_intermittent_or_hierarchical_forecast
MWBESEA01CO001,Erratic,A,14338.0,True,low,44.70914127423823,120.33333333333333,2.89169711547289,high,pre-position_inventory_before_promotion_window
MPFBSMM03CO001,Erratic,A,12662.0,True,low,78.26666666666667,7.5,,unknown,monitor_with_weekly_baseline
MPFBSMM01CO001,Erratic,A,12357.0,True,low,36.54771784232366,20.083333333333332,,unknown,monitor_with_weekly_baseline
MMTAAKC02CO001,Erratic,A,11841.0,True,medium,4.298507462686567,11.166666666666666,-0.666928879864797,low,monitor_with_weekly_baseline
MWRAAME01CO001,Erratic,A,11835.0,True,low,103.78224852071006,70.41666666666667,0.7031921282157276,high,pre-position_inventory_before_promotion_window
MWPCSVI01XC001,Erratic,A,11115.0,True,low,11.25,1.3333333333333333,0.9413873996659046,high,pre-position_inventory_before_promotion_window
MWRDSXT01CO001,Lumpy,A,10730.0,True,low,,0.0,1.4111064189189193,high,use_intermittent_or_hierarchical_forecast
MWPFSMT03QH001,Erratic,A,10699.0,True,low,20.66437386202711,411.9166666666667,,unknown,monitor_with_weekly_baseline
MMKEAVE15CO001,Erratic,A,10360.0,True,low,49.13793103448276,58.0,,unknown,monitor_with_weekly_baseline
MPFBSMM02CO001,Erratic,A,10136.0,True,low,21.065502183406114,19.083333333333332,,unknown,monitor_with_weekly_baseline
MYZAAVI02CO001,Erratic,A,9934.0,True,low,27.599999999999998,1.6666666666666667,3.8893704366454402,high,pre-position_inventory_before_promotion_window
MWPCSVI01I8001,Erratic,A,9348.0,True,low,8.701195219123505,20.916666666666668,0.8496627298185804,high,pre-position_inventory_before_promotion_window
MWPDSTA01CO001,Lumpy,A,8704.0,True,low,,0.0,0.8257648786981571,high,use_intermittent_or_hierarchical_forecast
MWSBAER01CO001,Erratic,A,8535.0,True,low,78.0,0.3333333333333333,-0.2686372129426493,low,monitor_with_weekly_baseline
MYZ9SME05CO001,Lumpy,A,8401.0,True,low,10.4,1.25,2.9612297790752575,high,pre-position_inventory_before_promotion_window
MWPAATN03CO001,Erratic,A,8137.0,True,low,17.939615736505033,91.08333333333333,1.4135089636433449,high,pre-position_inventory_before_promotion_window
MWPFSMT06PZ001,Erratic,A,7906.0,True,low,31.788177339901477,67.66666666666667,,unknown,monitor_with_weekly_baseline
MMRAAKC02CO001,Erratic,A,7680.0,True,low,18.599999999999998,8.333333333333334,1.2236816431322208,high,pre-position_inventory_before_promotion_window
MWPFSMT03PZ001,Erratic,A,6579.0,True,low,72.20425531914894,58.75,,unknown,monitor_with_weekly_baseline
MWPESAC02I9001,Erratic,A,6058.0,True,low,27.349640287769784,57.916666666666664,2.305412710970464,high,pre-position_inventory_before_promotion_window
MMTCSKC02CO001,Lumpy,A,6015.0,True,low,,0.0,0.9218289177640548,high,use_intermittent_or_hierarchical_forecast
MXBAAVI03CO001,Erratic,A,5941.0,True,medium,6.62962962962963,27.0,0.04731530891118596,low,monitor_with_weekly_baseline
MMKAAVE15CO001,Lumpy,A,5911.0,True,low,12.0,0.08333333333333333,-0.47181989172880645,low,use_intermittent_or_hierarchical_forecast
MWHESTA01CO001,Erratic,A,5909.0,True,low,71.58518518518518,33.75,0.9319772091163534,high,pre-position_inventory_before_promotion_window
MMZAAFI01BK001,Erratic,A,5892.0,True,low,29.302325581395348,10.75,0.8951612903225807,high,pre-position_inventory_before_promotion_window
MWBBAER01CO001,Lumpy,A,5825.0,True,low,,0.0,-0.14191121565113507,low,use_intermittent_or_hierarchical_forecast
MMZAAFI01CO001,Erratic,A,5595.0,True,low,17.71764705882353,14.166666666666666,2.1580395256916995,high,pre-position_inventory_before_promotion_window
MPFESMM02PK001,Erratic,A,5426.0,True,low,67.72093023255815,10.75,,unknown,monitor_with_weekly_baseline
MWPDALR01CO001,Erratic,A,5353.0,True,low,28.64,6.25,-0.21241661064280903,low,monitor_with_weekly_baseline
MMZAAFI04CO001,Erratic,A,5303.0,True,low,23.024390243902438,10.25,0.6504634303945722,high,pre-position_inventory_before_promotion_window
MWPCSVI01QZ001,Lumpy,A,5144.0,True,low,,0.0,-0.09268223086900129,low,use_intermittent_or_hierarchical_forecast
MXZAAVI09CO001,Erratic,A,5102.0,True,low,12.350364963503651,11.416666666666666,0.14720321804130232,medium,monitor_with_weekly_baseline
MPFCAMM03T1001,Lumpy,A,4703.0,True,low,,0.0,-0.6434811351938423,low,use_intermittent_or_hierarchical_forecast
MWTCSBO02CO001,Lumpy,A,4609.0,True,medium,5.142857142857142,0.5833333333333334,-0.25469460497176033,low,use_intermittent_or_hierarchical_forecast
MXLAAVI01CO001,Lumpy,A,4595.0,True,low,16.0,0.25,-0.38424601790489477,low,use_intermittent_or_hierarchical_forecast
MWRAASE03CO001,Lumpy,A,4557.0,True,medium,4.0,0.75,0.25678826421838563,medium,use_intermittent_or_hierarchical_forecast
MPFDSMM04BK001,Erratic,A,4482.0,True,low,73.8,1.6666666666666667,-0.283977445309723,low,monitor_with_weekly_baseline
MWPFSLR07PZ001,Erratic,A,4407.0,True,low,56.350515463917525,16.166666666666668,-0.47464162844036695,low,monitor_with_weekly_baseline
MWPEALR01QH001,Erratic,A,4402.0,True,high,3.3096446700507616,49.25,-0.7233456548525041,low,replenish_or_rebalance_before_next_sales_cycle
MXBAAVI08BK001,Erratic,A,4392.0,True,low,34.08247422680412,16.166666666666668,0.17731917451412538,medium,monitor_with_weekly_baseline
MWPAAVI02BK001,Lumpy,A,4332.0,True,low,,0.0,-0.5460317460317461,low,use_intermittent_or_hierarchical_forecast
MMRAAKC02BK001,Erratic,A,4238.0,True,low,30.508474576271183,4.916666666666667,1.1905335021062022,high,pre-position_inventory_before_promotion_window
MMKEAVE14CO001,Erratic,A,4206.0,True,low,57.10769230769231,32.5,,unknown,monitor_with_weekly_baseline
MWTDSBO06CO001,Lumpy,A,4124.0,True,low,84.0,0.08333333333333333,-0.323760607194188,low,use_intermittent_or_hierarchical_forecast
MMKAAVE10CO001,Lumpy,A,4053.0,True,low,112.0,0.25,-0.14468347609053267,low,use_intermittent_or_hierarchical_forecast
MWRBAWO05BK001,Lumpy,A,4035.0,True,low,106.5,0.6666666666666666,0.30060677566155425,medium,use_intermittent_or_hierarchical_forecast
MYLAAVI01CO001,Lumpy,A,4034.0,True,low,56.0,0.25,-0.11163795419617628,low,use_intermittent_or_hierarchical_forecast
MYZAAVI02BK001,Lumpy,A,4009.0,True,low,174.0,0.16666666666666666,3.2856939968001484,high,pre-position_inventory_before_promotion_window
MXSAAVI04BK001,Erratic,A,4003.0,True,low,72.0,0.16666666666666666,0.024723603036855835,low,monitor_with_weekly_baseline
MMRBSME03CO001,Lumpy,A,3931.0,True,low,12.676056338028168,5.916666666666667,-0.060726970801236124,low,use_intermittent_or_hierarchical_forecast
MPFESMM04PK001,Erratic,A,3906.0,True,low,20.967032967032967,15.166666666666666,,unknown,monitor_with_weekly_baseline
MXSBSVI01CO001,Lumpy,A,3896.0,True,low,24.0,0.25,-0.2262210249151485,low,use_intermittent_or_hierarchical_forecast
MWPCSVI02CO001,Erratic,A,3816.0,True,low,19.928571428571427,9.333333333333334,-0.26649245862559023,low,monitor_with_weekly_baseline
MWPDSLR02CO001,Lumpy,A,3802.0,True,low,,0.0,-0.8736525444973677,low,use_intermittent_or_hierarchical_forecast
MWEAAPA02CO001,Lumpy,A,3789.0,True,low,8.470588235294118,1.4166666666666667,0.23991295202990437,medium,use_intermittent_or_hierarchical_forecast
MWDBAXL01CO001,Lumpy,A,3785.0,True,low,,0.0,1.9166724163422209,high,use_intermittent_or_hierarchical_forecast
MWPGSLR03CO001,Smooth,A,3784.0,True,low,30.38155136268344,119.25,,unknown,monitor_with_weekly_baseline
MXCAAVI02BK001,Erratic,A,3663.0,True,low,28.285714285714285,9.333333333333334,0.01579008475560184,low,monitor_with_weekly_baseline
MXSAAVI04CO001,Lumpy,A,3659.0,True,low,81.0,0.3333333333333333,0.22783772680014747,medium,use_intermittent_or_hierarchical_forecast
MXZEATT04CO001,Lumpy,A,3598.0,True,low,30.545454545454547,1.8333333333333333,0.6452933705867412,high,pre-position_inventory_before_promotion_window
MPFBSMM04CO001,Lumpy,A,3591.0,True,low,25.333333333333332,1.5,,unknown,use_intermittent_or_hierarchical_forecast
MXZAAVI08CO001,Lumpy,A,3589.0,True,low,29.710344827586205,12.083333333333334,0.49467728976968406,medium,use_intermittent_or_hierarchical_forecast
MWDBSXL02CO001,Lumpy,A,3588.0,True,low,,0.0,0.6420727379013738,high,use_intermittent_or_hierarchical_forecast
MWRAACG01CO001,Lumpy,A,3533.0,True,low,,0.0,-0.026508226691041914,low,use_intermittent_or_hierarchical_forecast
MXBAAVI08CO001,Lumpy,A,3522.0,True,low,48.470588235294116,4.25,1.70760823875578,high,pre-position_inventory_before_promotion_window
